"annotation_id","annotator","created_at","id","lead_time","tricks","updated_at","url"
1,"1","2024-10-10T05:22:48.696876Z",1,51.152,"[{""start"":0.00703674832962138,""end"":4.070758908685969,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":4.067240534521158,""end"":6.315481625835189,""channel"":0,""labels"":[""walking_away""]}]","2024-10-10T05:22:48.696894Z","/data/upload/1/53888dc4-img-6368_2160p_25fps_10pts.webm"
2,"1","2024-10-10T05:24:24.742398Z",2,95.846,"[{""start"":0.7558730512249444,""end"":1.3296080178173721,""channel"":0,""labels"":[""spinning""]},{""start"":1.338714922048998,""end"":3.6655289532293986,""channel"":0,""labels"":[""walking_left_to_right""]},{""start"":3.674635857461025,""end"":4.580772828507796,""channel"":0,""labels"":[""spinning""]},{""start"":4.594433184855235,""end"":7.508642538975502,""channel"":0,""labels"":[""walking_right_to_left""]},{""start"":7.526856347438753,""end"":8.178,""channel"":0,""labels"":[""spinning""]}]","2024-10-10T05:24:24.742417Z","/data/upload/1/0247b9d2-img-6369_1080p_25fps_10pts.webm"
3,"1","2024-10-10T05:25:53.957437Z",3,89.028,"[{""start"":5.656628619153675,""end"":6.468006681514477,""channel"":0,""labels"":[""spinning""]}]","2024-10-10T05:25:53.957457Z","/data/upload/1/a0686400-img-6370_1080p_25fps_10pts.webm"
4,"1","2024-10-10T05:26:43.707072Z",4,49.552,"[{""start"":1.9139955456570157,""end"":2.9237689309576838,""channel"":0,""labels"":[""spinning"",""siting_down""]},{""start"":2.941360801781737,""end"":3.9229871937639196,""channel"":0,""labels"":[""standing_up""]},{""start"":4.858874721603564,""end"":5.699766146993318,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-10-10T05:26:43.707090Z","/data/upload/1/91c7ef02-img-6371_1080p_25fps_10pts.webm"
6,"1","2024-10-14T02:26:48.192917Z",5,171.526,"[{""start"":0.6705745967741936,""end"":2.8267298387096775,""channel"":0,""labels"":[""walking_away"",""spinning""]},{""start"":3.5488870967741932,""end"":4.828137096774194,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":2.9298951612903226,""end"":3.4869879032258067,""channel"":0,""labels"":[""spinning""]},{""start"":8.263542338709678,""end"":10.244316532258066,""channel"":0,""labels"":[""walking_away""]},{""start"":10.460963709677419,""end"":11.358502016129034,""channel"":0,""labels"":[""spinning""]},{""start"":11.410084677419356,""end"":13.566239919354839,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":13.669405241935486,""end"":14.257447580645161,""channel"":0,""labels"":[""spinning""]},{""start"":14.474094758064517,""end"":15.351,""channel"":0,""labels"":[""walking_away""]}]","2024-10-14T02:26:48.192935Z","/data/upload/1/96a0206d-1-hecho-con-clipchamp_1080p_25fps_10pts.webm"
7,"1","2024-10-14T02:29:23.925829Z",6,151.998,"[{""start"":0.007013440860215055,""end"":0.785505376344086,""channel"":0,""labels"":[""walking_away""]},{""start"":0.8205725806451613,""end"":1.5990645161290322,""channel"":0,""labels"":[""spinning""]},{""start"":1.697252688172043,""end"":3.254236559139785,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":3.268263440860215,""end"":3.6820564516129033,""channel"":0,""labels"":[""spinning""]},{""start"":3.759204301075269,""end"":5.68790053763441,""channel"":0,""labels"":[""walking_away""]},{""start"":6.052599462365591,""end"":9.299822580645163,""channel"":0,""labels"":[""spinning""]},{""start"":9.888951612903226,""end"":10.436,""channel"":0,""labels"":[""spinning""]}]","2024-10-14T02:29:23.925847Z","/data/upload/1/21e3a0f7-2-hecho-con-clipchamp_1080p_25fps_10pts.webm"
8,"1","2024-10-14T02:30:08.347747Z",7,43.138,"[{""start"":0.00671236559139785,""end"":3.1883736559139786,""channel"":0,""labels"":[""spinning""]},{""start"":3.664951612903226,""end"":7.752782258064515,""channel"":0,""labels"":[""spinning""]},{""start"":8.316620967741935,""end"":9.988,""channel"":0,""labels"":[""spinning""]}]","2024-10-14T02:30:08.347767Z","/data/upload/1/be58d5f2-3-hecho-con-clipchamp_1080p_25fps_10pts.webm"
9,"1","2024-10-14T02:34:25.956260Z",8,256.571,"[{""start"":0.4900947580645162,""end"":4.275899193548387,""channel"":0,""labels"":[""spinning""]},{""start"":5.149546370967743,""end"":7.365627016129032,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":7.479272177419356,""end"":8.132731854838712,""channel"":0,""labels"":[""spinning""]},{""start"":8.225068548387098,""end"":10.327504032258066,""channel"":0,""labels"":[""walking_away""]}]","2024-10-14T02:34:25.956280Z","/data/upload/1/33fe3cc4-4-hecho-con-clipchamp_1080p_25fps_10pts.webm"
10,"1","2024-10-14T02:35:44.502002Z",9,77.641,"[{""start"":0.043455645161290316,""end"":0.7966868279569896,""channel"":0,""labels"":[""standing_up""]},{""start"":1.2095154569892472,""end"":1.9844744623655912,""channel"":0,""labels"":[""siting_down""]},{""start"":2.4697291666666663,""end"":3.3098716397849457,""channel"":0,""labels"":[""standing_up""]},{""start"":3.853067204301075,""end"":4.765635752688172,""channel"":0,""labels"":[""siting_down""]},{""start"":4.997399193548387,""end"":5.85202688172043,""channel"":0,""labels"":[""standing_up""]},{""start"":6.351766801075268,""end"":8.807010752688171,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-10-14T02:35:44.502021Z","/data/upload/1/c992bb05-5-hecho-con-clipchamp_1080p_25fps_10pts.webm"
11,"1","2024-10-14T02:37:12.405670Z",10,86.821,"[{""start"":0.5879556451612903,""end"":1.5792762096774193,""channel"":0,""labels"":[""standing_up""]},{""start"":2.037334677419355,""end"":2.7962076612903224,""channel"":0,""labels"":[""siting_down""]},{""start"":4.2114032258064515,""end"":4.881399193548387,""channel"":0,""labels"":[""standing_up""]},{""start"":5.476191532258064,""end"":6.118840725806452,""channel"":0,""labels"":[""siting_down""]},{""start"":8.231379032258063,""end"":9.051782258064515,""channel"":0,""labels"":[""standing_up""]}]","2024-10-14T02:37:12.405693Z","/data/upload/1/16569cf2-6-hecho-con-clipchamp_1080p_25fps_10pts.webm"
